feature,importance
price_lag_1h,0.8738867153527733
price_diff_4,0.10490287994615041
rolling_mean_24h,0.003061185393490673
rolling_std_24h,0.0021914272005168624
price_lag_24h,0.0017586061779716953
price_lag_168h,0.0017193230074124372
cos_hour,0.001661935156595017
rolling_std_168h,0.0015253913482433476
rolling_mean_168h,0.0015210981383159807
hour,0.0011224753530328297
sin_hour,0.0010759143015661233
day,0.0009286304507849977
day_of_month,0.0008214824771574484
hour_x_business,0.0006692877381779749
month,0.0005875286233927921
sin_day_of_week,0.00043156355637356434
sin_month,0.0003969749418754775
cos_month,0.00038905812073347597
price_diff_1,0.00036024997954808624
price_pct_change_1,0.000244237776099469
cos_day_of_week,0.00020711023507489273
day_of_week,0.00019229484726794778
weekday,0.0001805863838205534
hour_x_weekend,9.153384144056201e-05
is_business_hour,6.386009298001654e-05
is_weekend,8.649559203974179e-06
