feature,importance
price_lag_1h,0.5468035
price_diff_4,0.11246728
rolling_mean_24h,0.06240522
rolling_std_24h,0.04502374
is_business_hour,0.033818588
sin_hour,0.018745081
cos_hour,0.01554685
price_pct_change_1,0.013799678
hour,0.013795836
sin_day_of_week,0.012957423
month,0.011368329
cos_month,0.010914939
weekday,0.010671258
price_lag_24h,0.01040738
sin_month,0.008054424
day,0.008023537
day_of_month,0.0074906363
hour_x_business,0.007306331
price_lag_168h,0.007201562
day_of_week,0.006770519
rolling_std_168h,0.0067661037
rolling_mean_168h,0.0067018284
price_diff_1,0.006467294
hour_x_weekend,0.0059049376
is_weekend,0.0054450096
cos_day_of_week,0.005142803
