actual,predicted,residual,abs_residual,pct_error,timestamp,hour,month,day_of_week
2.34,3.1201184708085563,-0.7801184708085565,0.7801184708085565,33.33839618839985,2025-10-21 23:15:00,23,10,1
2.0,1.7335600845162702,0.2664399154837298,0.2664399154837298,13.32199577418649,2025-10-21 23:30:00,23,10,1
1.49,1.9412000047790414,-0.45120000477904143,0.45120000477904143,30.281879515371905,2025-10-21 23:45:00,23,10,1
4.44,3.6220899076224953,0.8179100923775051,0.8179100923775051,18.421398476970836,2025-10-22 00:00:00,0,10,2
4.03,5.334015857151648,-1.304015857151648,1.304015857151648,32.35771357696397,2025-10-22 00:15:00,0,10,2
4.0,4.816634002268273,-0.8166340022682732,0.8166340022682732,20.41585005670683,2025-10-22 00:30:00,0,10,2
3.46,4.594291168850425,-1.1342911688504254,1.1342911688504254,32.782981758682816,2025-10-22 00:45:00,0,10,2
3.17,7.81092598806768,-4.64092598806768,4.64092598806768,146.4014507276871,2025-10-22 01:00:00,1,10,2
2.99,4.9859965680731975,-1.9959965680731973,1.9959965680731973,66.75573806264873,2025-10-22 01:15:00,1,10,2
2.91,5.108336602689413,-2.1983366026894124,2.1983366026894124,75.54421315083891,2025-10-22 01:30:00,1,10,2
2.45,4.556830102455947,-2.1068301024559473,2.1068301024559473,85.99306540636519,2025-10-22 01:45:00,1,10,2
2.83,4.718169519629946,-1.8881695196299457,1.8881695196299457,66.71977101165886,2025-10-22 02:00:00,2,10,2
2.93,5.1405736209402875,-2.2105736209402873,2.2105736209402873,75.446198666904,2025-10-22 02:15:00,2,10,2
2.84,5.229440707682798,-2.389440707682798,2.389440707682798,84.13523618601403,2025-10-22 02:30:00,2,10,2
2.92,4.762648190317584,-1.8426481903175844,1.8426481903175844,63.10439007936933,2025-10-22 02:45:00,2,10,2
2.99,5.972758842793702,-2.982758842793702,2.982758842793702,99.75782082922079,2025-10-22 03:00:00,3,10,2
2.99,5.834511432669949,-2.8445114326699485,2.8445114326699485,95.13416162775748,2025-10-22 03:15:00,3,10,2
2.99,5.664838034930753,-2.674838034930753,2.674838034930753,89.45946605119573,2025-10-22 03:30:00,3,10,2
2.96,5.806281019057607,-2.8462810190576073,2.8462810190576073,96.15814253572998,2025-10-22 03:45:00,3,10,2
3.44,6.174757896838031,-2.734757896838031,2.734757896838031,79.498776070873,2025-10-22 04:00:00,4,10,2
3.85,6.56819220422453,-2.7181922042245303,2.7181922042245303,70.60239491492285,2025-10-22 04:15:00,4,10,2
4.01,6.902219658426233,-2.8922196584262334,2.8922196584262334,72.12517851436992,2025-10-22 04:30:00,4,10,2
4.3,7.058899215610701,-2.7588992156107013,2.7588992156107013,64.16044687466747,2025-10-22 04:45:00,4,10,2
4.0,8.07596543073048,-4.075965430730481,4.075965430730481,101.89913576826201,2025-10-22 05:00:00,5,10,2
9.56,7.918791850107105,1.6412081498928952,1.6412081498928952,17.167449266662082,2025-10-22 05:15:00,5,10,2
10.57,12.920432666921016,-2.350432666921016,2.350432666921016,22.236827501617935,2025-10-22 05:30:00,5,10,2
12.34,13.199393080216431,-0.8593930802164316,0.8593930802164316,6.9642875220132225,2025-10-22 05:45:00,5,10,2
12.24,14.47616749829158,-2.2361674982915805,2.2361674982915805,18.269342306303763,2025-10-22 06:00:00,6,10,2
13.45,19.632318670633126,-6.182318670633126,6.182318670633126,45.96519457719796,2025-10-22 06:15:00,6,10,2
14.09,17.817616277049286,-3.727616277049286,3.727616277049286,26.45575782149955,2025-10-22 06:30:00,6,10,2
14.65,19.448975474333373,-4.798975474333373,4.798975474333373,32.75751177019367,2025-10-22 06:45:00,6,10,2
14.9,18.881598725764306,-3.9815987257643055,3.9815987257643055,26.722139099089297,2025-10-22 07:00:00,7,10,2
15.22,20.275870819351738,-5.055870819351737,5.055870819351737,33.21859933871049,2025-10-22 07:15:00,7,10,2
15.52,20.431462083766913,-4.911462083766914,4.911462083766914,31.646018580972385,2025-10-22 07:30:00,7,10,2
15.8,20.7712254207193,-4.9712254207193,4.9712254207193,31.463452029868982,2025-10-22 07:45:00,7,10,2
24.52,15.673220263604748,8.846779736395252,8.846779736395252,36.079852106016524,2025-10-22 08:00:00,8,10,2
25.48,23.575315747309862,1.9046842526901386,1.9046842526901386,7.475212922645756,2025-10-22 08:15:00,8,10,2
25.99,22.620326578733597,3.369673421266402,3.369673421266402,12.965269031421325,2025-10-22 08:30:00,8,10,2
24.54,22.75544410403175,1.78455589596825,1.78455589596825,7.272028915926039,2025-10-22 08:45:00,8,10,2
25.24,30.42844906076108,-5.18844906076108,5.18844906076108,20.556454281937718,2025-10-22 09:00:00,9,10,2
24.4,25.605607169331336,-1.205607169331337,1.205607169331337,4.941012989062857,2025-10-22 09:15:00,9,10,2
20.53,24.142849225679775,-3.612849225679774,3.612849225679774,17.597901732487937,2025-10-22 09:30:00,9,10,2
17.64,18.797118617219603,-1.1571186172196022,1.1571186172196022,6.559629349317472,2025-10-22 09:45:00,9,10,2
15.23,19.85382418151047,-4.623824181510468,4.623824181510468,30.35997492784286,2025-10-22 10:00:00,10,10,2
15.12,16.446183994405793,-1.3261839944057936,1.3261839944057936,8.771058164059482,2025-10-22 10:15:00,10,10,2
15.31,13.686921569875352,1.6230784301246484,1.6230784301246484,10.601426715379807,2025-10-22 10:30:00,10,10,2
15.29,13.892051534659483,1.3979484653405159,1.3979484653405159,9.142893821716914,2025-10-22 10:45:00,10,10,2
15.3,14.660354581486992,0.6396454185130089,0.6396454185130089,4.1806890098889475,2025-10-22 11:00:00,11,10,2
15.27,16.23452822638295,-0.9645282263829493,0.9645282263829493,6.316491331911915,2025-10-22 11:15:00,11,10,2
15.21,16.35738914833894,-1.147389148338938,1.147389148338938,7.5436498904598155,2025-10-22 11:30:00,11,10,2
15.18,16.09882094366592,-0.9188209436659207,0.9188209436659207,6.052838891079847,2025-10-22 11:45:00,11,10,2
14.91,16.89565142396434,-1.9856514239643381,1.9856514239643381,13.317581649660216,2025-10-22 12:00:00,12,10,2
14.91,16.53139566877427,-1.6213956687742694,1.6213956687742694,10.87455176910979,2025-10-22 12:15:00,12,10,2
14.88,16.474917994839192,-1.5949179948391912,1.5949179948391912,10.718534911553704,2025-10-22 12:30:00,12,10,2
14.88,16.4029664219868,-1.5229664219867995,1.5229664219867995,10.234989395072578,2025-10-22 12:45:00,12,10,2
14.81,16.976163866175536,-2.166163866175536,2.166163866175536,14.626359663575528,2025-10-22 13:00:00,13,10,2
14.87,17.02349297251347,-2.1534929725134706,2.1534929725134706,14.482131624165909,2025-10-22 13:15:00,13,10,2
14.92,16.986598470050243,-2.066598470050243,2.066598470050243,13.851196179961415,2025-10-22 13:30:00,13,10,2
14.89,16.953778985887006,-2.063778985887005,2.063778985887005,13.860167803136367,2025-10-22 13:45:00,13,10,2
16.88,17.486305600574518,-0.6063056005745189,0.6063056005745189,3.5918578233087612,2025-10-22 14:00:00,14,10,2
17.76,19.426367587348885,-1.6663675873488835,1.6663675873488835,9.382700379216685,2025-10-22 14:15:00,14,10,2
17.06,19.880083471230705,-2.8200834712307064,2.8200834712307064,16.530383770402736,2025-10-22 14:30:00,14,10,2
17.99,19.00960056313935,-1.0196005631393525,1.0196005631393525,5.667596237572833,2025-10-22 14:45:00,14,10,2
12.1,22.183708329537453,-10.083708329537453,10.083708329537453,83.33643247551615,2025-10-22 15:00:00,15,10,2
12.44,15.861874536429564,-3.4218745364295646,3.4218745364295646,27.507030035607432,2025-10-22 15:15:00,15,10,2
12.33,15.990854994396035,-3.6608549943960345,3.6608549943960345,29.69063255795648,2025-10-22 15:30:00,15,10,2
12.49,17.312377364044682,-4.822377364044682,4.822377364044682,38.609906837827715,2025-10-22 15:45:00,15,10,2
11.5,11.323617886759443,0.17638211324055675,0.17638211324055675,1.5337575064396238,2025-10-22 16:00:00,16,10,2
5.29,15.166132572401118,-9.876132572401119,9.876132572401119,186.69437755011566,2025-10-22 16:15:00,16,10,2
4.99,9.436485317267731,-4.446485317267731,4.446485317267731,89.1079221897341,2025-10-22 16:30:00,16,10,2
4.77,10.725214643844623,-5.955214643844624,5.955214643844624,124.84726716655396,2025-10-22 16:45:00,16,10,2
11.67,9.445402850815391,2.224597149184609,2.224597149184609,19.06252912754592,2025-10-22 17:00:00,17,10,2
12.5,10.877179968340549,1.622820031659451,1.622820031659451,12.982560253275608,2025-10-22 17:15:00,17,10,2
13.8,14.96278929463633,-1.1627892946363296,1.1627892946363296,8.426009381422677,2025-10-22 17:30:00,17,10,2
20.0,15.983301885315363,4.016698114684637,4.016698114684637,20.083490573423184,2025-10-22 17:45:00,17,10,2
9.63,28.399215185415798,-18.769215185415796,18.769215185415796,194.90358447991477,2025-10-22 18:00:00,18,10,2
9.68,13.309820829388492,-3.6298208293884926,3.6298208293884926,37.49814906393071,2025-10-22 18:15:00,18,10,2
9.68,15.854760482283162,-6.174760482283162,6.174760482283162,63.788847957470686,2025-10-22 18:30:00,18,10,2
7.79,20.525064634122202,-12.735064634122203,12.735064634122203,163.47964870503472,2025-10-22 18:45:00,18,10,2
5.05,0.08596591900741402,4.964034080992586,4.964034080992586,98.29770457411061,2025-10-22 19:00:00,19,10,2
5.0,5.538969137992943,-0.5389691379929431,0.5389691379929431,10.779382759858862,2025-10-22 19:15:00,19,10,2
4.99,5.880704535753246,-0.8907045357532457,0.8907045357532457,17.849790295656227,2025-10-22 19:30:00,19,10,2
